x y
58500 1176
58600 1220
58700 1266
58800 1296
58900 1336
59000 1384
59100 1424
59200 1468
59300 1530
59400 1564
59500 1588
59600 1616
59700 1660
59800 1710
59900 1756
60000 1794
60100 1840
60200 1882
60300 1908
60400 1938
60500 1988
60600 2032
60700 2066
60800 2108
60900 2136
61000 2184
61100 2242
61200 2298
61300 2302
61400 2258
61500 2218
61600 2188
61700 2158
61800 2110
61900 2058
62000 2014
62100 1978
62200 1952
62300 1910
62400 1868
62500 1832
62600 1806
62700 1774
62800 1740
62900 1708
63000 1660
63100 1618
63200 1586
63300 1538
63400 1488
63500 1442
63600 1398
63700 1358
63800 1312
63900 1274
64000 1234
64100 1206
64200 1160
64300 1122
64400 1078
64500 1052
64600 1014
64700 966
64800 924
64900 882
65000 856
65100 810
65200 750
65300 692
65400 646
65500 610
65600 560
65700 512
65800 480
65900 434
66000 406
66100 362
66200 316
66300 288
66400 274
66500 272
66600 220
66700 178
66800 162
66900 144
67000 104
67100 64
67200 66
67300 84
67400 122
67500 152
67600 178
67700 228
67800 260
67900 260
68000 256
68100 296
68200 346
68300 376
68400 326
68500 284
68600 246
68700 218
68800 186
68900 188
69000 156
69100 118
69200 88
69300 60
69400 48
69500 64
69600 88
69700 88
69800 64
69900 42
70000 52
70100 50
70200 30
70300 16
70400 40
70500 84
70600 128
70700 166
70800 212
70900 234
71000 278
71100 322
71200 368
71300 396
71400 420
71500 466
71600 516
71700 570
71800 598
71900 618
72000 656
72100 702
72200 756
72300 790
72400 826
72500 874
72600 900
72700 934
72800 972
72900 1004
73000 1044
73100 1090
73200 1138
73300 1196
73400 1224
73500 1254
73600 1304
73700 1328
73800 1364
73900 1412
74000 1446
74100 1476
74200 1506
74300 1530
74400 1572
74500 1616
74600 1660
74700 1698
74800 1742
74900 1778
75000 1812
75100 1852
75200 1884
75300 1918
75400 1954
75500 1998
75600 2038
75700 2064
75800 2110
75900 2160
76000 2194
76100 2242
76200 2252
76300 2290
76400 2324
76500 2362
76600 2416
76700 2450
76800 2494
76900 2512
77000 2558
77100 2598
77200 2646
77300 2668
77400 2708
77500 2742
77600 2780
77700 2820
77800 2874
77900 2928
78000 2980
78100 3036
78200 3068
78300 3106
78400 3132
78500 3168
78600 3198
78700 3236
78800 3284
78900 3328
79000 3356
79100 3322
79200 3270
79300 3242
79400 3214
79500 3188
79600 3142
79700 3112
79800 3078
79900 3032
80000 2996
80100 2964
80200 2954
80300 2902
80400 2850
80500 2814
80600 2770
80700 2724
80800 2692
80900 2654
81000 2620
81100 2586
81200 2530
81300 2482
81400 2430
81500 2406
81600 2374
81700 2334
81800 2296
81900 2248
82000 2216
82100 2168
82200 2122
82300 2084
82400 2038
82500 1996
82600 1952
82700 1918
82800 1882
82900 1854
83000 1814
83100 1776
83200 1740
83300 1688
83400 1662
83500 1676
83600 1730
83700 1758
83800 1808
83900 1846
84000 1876
84100 1912
84200 1970
84300 2020
84400 2064
84500 2100
84600 2136
84700 2176
84800 2216
84900 2260
85000 2298
85100 2340
85200 2376
85300 2430
85400 2472
85500 2490
85600 2474
85700 2432
85800 2398
85900 2350
86000 2320
86100 2286
86200 2250
86300 2198
86400 2150
86500 2106
86600 2050
86700 2010
86800 1946
86900 1902
87000 1854
87100 1800
87200 1758
87300 1718
87400 1668
87500 1634
87600 1622
87700 1586
87800 1542
87900 1502
88000 1466
88100 1424
88200 1370
88300 1330
88400 1308
88500 1274
88600 1230
88700 1256
88800 1250
88900 1232
89000 1266
89100 1312
89200 1346
89300 1398
89400 1428
89500 1478
89600 1516
89700 1574
89800 1626
89900 1664
90000 1706
90100 1736
90200 1752
90300 1784
90400 1818
90500 1852
90600 1846
90700 1832
90800 1820
90900 1828
91000 1818
91100 1820
91200 1786
91300 1758
91400 1712
91500 1674
91600 1638
91700 1590
91800 1544
91900 1506
92000 1472
92100 1408
92200 1368
92300 1326
92400 1286
92500 1252
92600 1206
92700 1152
92800 1110
92900 1076
93000 1036
93100 992
93200 984
93300 958
93400 926
93500 912
93600 878
93700 834
93800 792
93900 750
94000 718
94100 666
94200 624
94300 580
94400 542
94500 508
94600 486
94700 460
94800 496
94900 536
95000 576
95100 604
95200 644
95300 686
95400 672
95500 612
95600 572
95700 534
95800 492
95900 448
96000 400
96100 362
96200 352
96300 390
96400 428
96500 478
96600 504
96700 504
96800 506
96900 496
97000 536
97100 582
97200 636
97300 680
97400 726
97500 756
97600 796
97700 838
97800 878
97900 926
98000 972
98100 1012
98200 1048
98300 1082
98400 1110
98500 1154
98600 1208
98700 1252
98800 1306
98900 1350
99000 1400
99100 1428
99200 1466
99300 1510
99400 1562
99500 1594
99600 1628
99700 1622
99800 1580
99900 1524
100000 1466
100100 1434
100200 1394
100300 1362
100400 1322
100500 1288
100600 1240
100700 1202
100800 1160
100900 1126
101000 1082
101100 1032
101200 984
101300 948
101400 904
101500 854
101600 816
101700 834
101800 870
101900 900
102000 938
102100 986
102200 1022
102300 1068
102400 1108
102500 1138
102600 1176
102700 1218
102800 1224
102900 1232
103000 1238
103100 1282
103200 1340
103300 1370
103400 1410
103500 1432
103600 1468
103700 1508
103800 1536
103900 1588
104000 1626
104100 1672
104200 1716
104300 1760
104400 1806
104500 1834
104600 1878
104700 1912
104800 1960
104900 2008
105000 2064
105100 2100
105200 2146
105300 2184
105400 2236
105500 2292
105600 2342
105700 2364
105800 2400
105900 2442
106000 2466
106100 2506
106200 2552
106300 2578
106400 2586
106500 2638
106600 2672
106700 2724
106800 2772
106900 2748
107000 2700
107100 2670
107200 2626
107300 2572
107400 2530
107500 2488
107600 2446
107700 2406
107800 2370
107900 2330
108000 2306
108100 2252
108200 2204
108300 2174
108400 2130
108500 2106
108600 2066
108700 2018
108800 1970
108900 1940
109000 1894
109100 1840
109200 1790
109300 1732
109400 1686
109500 1646
109600 1602
109700 1580
109800 1546
109900 1504
110000 1460
110100 1408
110200 1382
110300 1378
110400 1338
110500 1292
110600 1260
110700 1246
110800 1190
110900 1150
111000 1112
111100 1074
111200 1034
111300 1012
111400 972
111500 916
111600 878
111700 840
111800 782
111900 748
112000 694
112100 658
112200 620
112300 588
112400 558
112500 512
112600 490
112700 446
112800 412
112900 382
113000 350
113100 330
113200 294
113300 266
113400 238
113500 186
113600 182
113700 226
113800 242
113900 228
114000 184
114100 134
114200 148
114300 170
114400 220
114500 214
114600 178
114700 150
114800 116
114900 90
115000 68
115100 58
115200 54
115300 72
115400 74
115500 46
115600 38
115700 74
115800 120
115900 166
116000 222
116100 282
116200 324
116300 344
116400 386
116500 434
116600 480
116700 522
116800 554
116900 604
117000 648
117100 694
117200 732
117300 760
117400 802
117500 832
117600 882
117700 914
117800 960
117900 1002
118000 990
118100 1028
118200 1082
118300 1124
118400 1158
118500 1202
118600 1234
118700 1284
118800 1324
118900 1372
119000 1416
119100 1448
119200 1474
119300 1500
119400 1526
119500 1568
119600 1608
119700 1650
119800 1698
119900 1702
120000 1742
120100 1782
120200 1818
120300 1850
120400 1880
120500 1928
120600 1968
120700 1998
120800 2048
120900 2070
121000 2122
121100 2148
121200 2206
121300 2220
121400 2232
121500 2278
121600 2326
121700 2364
121800 2404
121900 2434
122000 2476
122100 2512
122200 2538
122300 2570
122400 2598
122500 2626
122600 2670
122700 2728
122800 2770
122900 2814
123000 2846
123100 2878
123200 2928
123300 2970
123400 3026
123500 3066
123600 3096
123700 3128
123800 3166
123900 3200
124000 3238
